,Brand,Model_Name,Model_Number,Original_Price,Offered_Price,Discount,Rating,Rating_Count,Sim_Size,Sim_Type,Tech_Category,Touch_Screen,Display_Size,PCam_Avl,Primary_Camera,SCam_avl,Secondary_Camera,Int_Memory,RAM,Expandable_Memory,Memory_Card_Type,Memory_Card_Slot,Battery
0,Redmi,Redmi Note 8,MZB8191IN / MZB07R4IN,"12,999","11,499",11% off,4.4,"39,812 Ratings & 2,894 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.0 cm (6.3 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,13MP Front Camera,64 GB,4 GB,512 GB,,Dedicated Slot,4000 mAh
1,Redmi,9i,MZB0818IN,"10,999","8,999",18% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,128 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
2,Redmi,9i,MZB080TIN / MZB0815IN,"9,999","8,299",17% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
3,Realme,Narzo 20,RMX2193,"13,999","11,499",17% off,4.3,"1,85,170 Ratings & 15,011 Reviews",Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,48MP + 8MP + 2MP,Yes,8MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
4,Realme,Narzo 20,RMX2193,"13,999","11,499",17% off,4.3,"1,85,169 Ratings & 15,011 Reviews",Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,48MP + 8MP + 2MP,Yes,8MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
5,Realme,Narzo 20,RMX2193,"12,999","10,499",19% off,4.3,"1,85,169 Ratings & 15,011 Reviews",Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,48MP + 8MP + 2MP,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
6,Redmi,9i,MZB0817IN / MZB080UIN,"9,999","8,299",17% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
7,Tecno,Spark Power 2 Air,LC7,"9,999","8,499",15% off,4.3,"7,117 Ratings & 657 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.78 cm (7 inch),Yes,13MP + 2MP + 2MP + AI Lens Quad AI Camera,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
8,Infinix,Smart 4 Plus,X680D,"9,999","7,999",20% off,4.4,"1,01,866 Ratings & 9,061 Reviews",Nano + Nano + Micro SD Card Slot,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
9,Redmi,9i,MZB0813IN / MZB080SIN,"9,999","8,299",17% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
10,POCO,X3,MZB9965IN,"20,999","18,499",11% off,4.3,"48,452 Ratings & 5,729 Reviews",Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,64MP + 13MP + 2MP + 2MP,Yes,20MP Front Camera,128 GB,6 GB,512 GB,microSD,Hybrid Slot,6000 mAh
11,Infinix,Smart 4 Plus,X680D,"9,999","7,999",20% off,4.4,"1,01,866 Ratings & 9,061 Reviews",Nano + Nano + Micro SD Card Slot,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
12,Infinix,Smart 4 Plus,X680D,"9,999","7,999",20% off,4.4,"1,01,866 Ratings & 9,061 Reviews",Nano + Nano + Micro SD Card Slot,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
13,Infinix,Smart 4 Plus,X680D,"9,999","7,999",20% off,4.4,"1,01,866 Ratings & 9,061 Reviews",Nano + Nano + Micro SD Card Slot,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
14,Moto,Moto G 5G,PALM0007IN,"24,999","20,999",16% off,4.5,209 Ratings & 32 Reviews,Nano + Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,48MP + 8MP + 2MP,Yes,16MP Front Camera,128 GB,6 GB,1 TB,microSD,Hybrid Slot,5000 mAh
15,Infinix,Smart 4,X680,"8,999","6,999",22% off,4.4,"6,294 Ratings & 443 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,2 GB,,microSD,Dedicated Slot,6000 mAh
16,Infinix,Smart 4,X680,"8,999","6,999",22% off,4.4,"6,294 Ratings & 443 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.32 cm (6.82 inch),Yes,13MP + Depth Sensor,Yes,8MP Front Camera,32 GB,2 GB,,microSD,Dedicated Slot,6000 mAh
17,Realme,Narzo 10,RMX2040,"12,999","11,999",7% off,4.5,"1,63,069 Ratings & 12,219 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
18,Redmi,Redmi 8A Dual,MZB9027IN / MZB07RFIN,"8,499","6,999",17% off,4.3,"25,655 Ratings & 1,975 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.8 cm (6.22 inch),Yes,13MP + 2MP,Yes,8MP Front Camera,32 GB,2 GB,512 GB,,Dedicated Slot,5000 mAh
19,Infinix,Note 7,X690,"14,999","9,999",33% off,4.3,"8,855 Ratings & 958 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.65 cm (6.95 inch),Yes,48MP + 2MP + 2MP + AI Lens Camera,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
20,Realme,C11,RMX2185,"8,999","7,499",16% off,4.4,"3,35,783 Ratings & 22,759 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,13MP + 2MP,Yes,5MP Front Camera,32 GB,2 GB,256 GB,microSD,Dedicated Slot,5000 mAh
21,Realme,C11,RMX2185,"8,999","7,499",16% off,4.4,"3,35,783 Ratings & 22,759 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,13MP + 2MP,Yes,5MP Front Camera,32 GB,2 GB,256 GB,microSD,Dedicated Slot,5000 mAh
22,POCO,C3,MZB07RIIN,"9,999","7,999",20% off,4.3,"70,857 Ratings & 5,549 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,32 GB,3 GB,512 GB,microSD,Dedicated Slot,5000 mAh
23,Realme,C12,RMX2189,"10,999","8,999",18% off,4.4,"1,80,567 Ratings & 11,393 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,6000 mAh
24,Infinix,Hot 10,X682B,"11,999","9,499",20% off,4.4,"19,232 Ratings & 1,739 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5200 mAh
25,Infinix,Hot 10,X682B,"11,999","9,499",20% off,4.4,"19,232 Ratings & 1,739 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5200 mAh
26,Infinix,Hot 10,X682B,"11,999","9,499",20% off,4.4,"19,232 Ratings & 1,739 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5200 mAh
27,Infinix,Hot 10,X682C,"13,999","10,999",21% off,4.4,"32,979 Ratings & 3,796 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,5200 mAh
28,Infinix,Hot 10,X682C,"13,999","10,999",21% off,4.4,"32,979 Ratings & 3,796 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,5200 mAh
29,Realme,Narzo 10,RMX2040,"12,999","11,999",7% off,4.5,"1,63,068 Ratings & 12,219 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
30,Redmi,9i,MZB0814IN,"10,999","8,999",18% off,4.3,"1,14,202 Ratings & 6,649 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,5MP Front Camera,128 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
31,Gionee,Max,Gionee Max,"7,990","5,499",31% off,4.1,"26,656 Ratings & 2,624 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.49 cm (6.1 inch),Yes,13MP + Digital Camera,Yes,5MP Front Camera,32 GB,2 GB,256 GB,microSD,Dedicated Slot,5000 mAh
32,Realme,6,RBS0601IN,"14,999","12,999",13% off,4.4,"74,987 Ratings & 8,045 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,4300 mAh
33,Realme,6,RBS0602IN,"14,999","12,999",13% off,4.4,"74,987 Ratings & 8,045 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,4300 mAh
34,Gionee,Max,Gionee Max,"7,990","5,499",31% off,4.1,"26,656 Ratings & 2,624 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.49 cm (6.1 inch),Yes,13MP + Digital Camera,Yes,5MP Front Camera,32 GB,2 GB,256 GB,microSD,Dedicated Slot,5000 mAh
35,Infinix,Hot 10,X682C,"13,999","10,999",21% off,4.4,"32,979 Ratings & 3,796 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,5200 mAh
36,Infinix,Hot 10,X682C,"13,999","10,999",21% off,4.4,"32,979 Ratings & 3,796 Reviews",Nano,Dual Sim,Smartphones,Yes,17.22 cm (6.78 inch),Yes,16MP + 2MP + 2MP + Low Light Sensor,Yes,8MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,5200 mAh
37,POCO,M2,MZB9917IN/MZB082IIN,"12,999","10,999",15% off,4.3,"1,80,355 Ratings & 15,116 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 8MP + 5MP + 2MP,Yes,8MP Front Camera,64 GB,6 GB,512 GB,microSD,Dedicated Slot,5000 mAh
38,Realme,Narzo 20 Pro,RMX2161,"16,999","13,999",17% off,4.3,"42,993 Ratings & 3,536 Reviews",Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,6 GB,256 GB,microSD,Dedicated Slot,4500 mAh
39,Realme,Narzo 20 Pro,RMX2161,"18,999","15,999",15% off,4.3,"24,658 Ratings & 2,102 Reviews",Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,8 GB,256 GB,microSD,Dedicated Slot,4500 mAh
40,Redmi,Redmi Note 8,MZB8191IN / MZB07R4IN,"12,999","11,499",11% off,4.4,"39,813 Ratings & 2,895 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.0 cm (6.3 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,13MP Front Camera,64 GB,4 GB,512 GB,,Dedicated Slot,4000 mAh
41,Infinix,Note 7,X690,"14,999","9,999",33% off,4.3,"8,855 Ratings & 958 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.65 cm (6.95 inch),Yes,48MP + 2MP + 2MP + AI Lens Camera,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
42,POCO,C3,MZB07RJIN,"10,999","8,999",18% off,4.3,"39,807 Ratings & 2,413 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
43,Infinix,Note 7,X690,"14,999","9,999",33% off,4.3,"8,855 Ratings & 958 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.65 cm (6.95 inch),Yes,48MP + 2MP + 2MP + AI Lens Camera,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
44,Nokia,105 SS 2020,12KETB21A02 / 12KIGB21A02,"1,179","1,179",,4.3,"33,694 Ratings & 2,767 Reviews",Mini SIM,Single Sim,Feature Phones,No,4.5 cm (1.77 inch),,,,,4 MB,4 MB,,NA,,800 mAh
45,POCO,C3,MZB07RHIN,"9,999","7,999",20% off,4.3,"70,857 Ratings & 5,549 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,32 GB,3 GB,512 GB,microSD,Dedicated Slot,5000 mAh
46,Motorola,G9,PAKK0024IN,"14,999","9,999",33% off,4.2,"30,543 Ratings & 3,361 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 2MP + 2MP,Yes,8MP Front Camera,64 GB,4 GB,512 GB,microSD,Hybrid Slot,5000 mAh
47,OPPO,A31,CPH2015,"15,990","11,990",25% off,4.3,"14,595 Ratings & 944 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,12MP + 2MP + 2MP,Yes,8MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,4230 mAh
48,Infinix,Note 7,X690,"14,999","9,999",33% off,4.3,"8,855 Ratings & 958 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.65 cm (6.95 inch),Yes,48MP + 2MP + 2MP + AI Lens Camera,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
49,Samsung,Galaxy F41,SM-F415FZBGINS,"20,999","16,499",21% off,4.3,"1,54,577 Ratings & 20,287 Reviews",Nano,Dual Sim,Smartphones,Yes,16.26 cm (6.4 inch),Yes,64MP + 8MP + 5MP,Yes,32MP Front Camera,128 GB,6 GB,512 GB,microSD,Dedicated Slot,6000 mAh
50,OPPO,A31,CPH2015,"15,990","11,990",25% off,4.3,"14,595 Ratings & 944 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,12MP + 2MP + 2MP,Yes,8MP Front Camera,128 GB,6 GB,256 GB,microSD,Dedicated Slot,4230 mAh
51,OPPO,A31,CPH2015,"12,990","10,990",15% off,4.3,"17,185 Ratings & 1,197 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,12MP + 2MP + 2MP,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,4230 mAh
52,POCO,C3,MZB07RHIN,"9,999","7,999",20% off,4.3,"70,857 Ratings & 5,549 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,32 GB,3 GB,512 GB,microSD,Dedicated Slot,5000 mAh
53,OPPO,A31,CPH2015,"12,990","10,990",15% off,4.3,"17,185 Ratings & 1,197 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,12MP + 2MP + 2MP,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,4230 mAh
54,POCO,X3,MZB07Z2IN,"19,999","16,999",15% off,4.3,"48,452 Ratings & 5,729 Reviews",Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,64MP + 13MP + 2MP + 2MP,Yes,20MP Front Camera,64 GB,6 GB,512 GB,microSD,Hybrid Slot,6000 mAh
55,Motorola,G9,PAKK0024IN,"14,999","9,999",33% off,4.2,"30,543 Ratings & 3,361 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 2MP + 2MP,Yes,8MP Front Camera,64 GB,4 GB,512 GB,microSD,Hybrid Slot,5000 mAh
56,Google,Pixel 4a,G025N,"31,999","31,999",,4.6,"6,810 Ratings & 1,608 Reviews",Nano + eSIM,Dual Sim,Smartphones,Yes,14.76 cm (5.81 inch),Yes,12.2MP Rear Camera,Yes,8MP Front Camera,128 GB,6 GB,,,,3140 mAh
57,Realme,7,RMX2151,"17,999","14,999",16% off,4.3,"1,58,102 Ratings & 16,774 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,6 GB,256 GB,microSD,Dedicated Slot,5000 mAh
58,POCO,C3,MZB07RLIN,"10,999","8,999",18% off,4.3,"39,807 Ratings & 2,413 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
59,Redmi,Redmi 8A Dual,MZB8948IN / MZB07RBIN,"8,499","7,880",7% off,4.3,"25,655 Ratings & 1,975 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.8 cm (6.22 inch),Yes,13MP + 2MP,Yes,8MP Front Camera,32 GB,2 GB,512 GB,,Dedicated Slot,5000 mAh
60,POCO,X3,MZB07Z3IN,"20,999","18,499",11% off,4.3,"48,452 Ratings & 5,729 Reviews",Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,64MP + 13MP + 2MP + 2MP,Yes,20MP Front Camera,128 GB,6 GB,512 GB,microSD,Hybrid Slot,6000 mAh
61,POCO,X3,MZB07Z4IN,"22,999","19,999",13% off,4.3,"9,350 Ratings & 976 Reviews",Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,64MP + 13MP + 2MP + 2MP,Yes,20MP Front Camera,128 GB,8 GB,512 GB,microSD,Hybrid Slot,6000 mAh
62,POCO,C3,MZB07QAIN,"10,999","8,999",18% off,4.3,"39,807 Ratings & 2,413 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 2MP + 2MP,Yes,5MP Front Camera,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5000 mAh
63,Samsung,Galaxy F41,SM-F415FZBDINS,"19,999","15,499",22% off,4.3,"1,54,578 Ratings & 20,287 Reviews",Nano,Dual Sim,Smartphones,Yes,16.26 cm (6.4 inch),Yes,64MP + 8MP + 5MP,Yes,32MP Front Camera,64 GB,6 GB,512 GB,microSD,Dedicated Slot,6000 mAh
64,Redmi,Redmi 8A Dual,MZB8949IN / MZB07RDIN,"8,499","6,999",17% off,4.3,"25,655 Ratings & 1,975 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.8 cm (6.22 inch),Yes,13MP + 2MP,Yes,8MP Front Camera,32 GB,2 GB,512 GB,,Dedicated Slot,5000 mAh
65,Samsung,Galaxy A50s,SM-A507FZKVINS,"24,900","14,999",39% off,4.3,"40,424 Ratings & 3,885 Reviews",Dual Nano SIM,Dual Sim,Smartphones,Yes,16.26 cm (6.4 inch),Yes,48MP + 8MP + 5MP,Yes,32MP Front Camera,128 GB,4 GB,,microSD,Dedicated Slot,4000 mAh
66,Samsung,Galaxy F41,SM-F415FZKGINS,"20,999","16,499",21% off,4.3,"1,54,577 Ratings & 20,287 Reviews",Nano,Dual Sim,Smartphones,Yes,16.26 cm (6.4 inch),Yes,64MP + 8MP + 5MP,Yes,32MP Front Camera,128 GB,6 GB,512 GB,microSD,Dedicated Slot,6000 mAh
67,Realme,7,RMX2151,"20,999","16,999",19% off,4.3,"40,687 Ratings & 4,481 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,8 GB,256 GB,microSD,Dedicated Slot,5000 mAh
68,Realme,7,RMX2151,"17,999","14,999",16% off,4.3,"1,58,102 Ratings & 16,774 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,6 GB,256 GB,microSD,Dedicated Slot,5000 mAh
69,OPPO,A12,CPH2083,"10,990","8,990",18% off,4.3,"18,501 Ratings & 1,482 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,15.8 cm (6.22 inch),Yes,13MP + 2MP,Yes,5MP Front Camera,32 GB,3 GB,256 GB,microSD,Dedicated Slot,4230 mAh
70,Apple,iPhone SE,MX9T2HN/A,"39,900","32,999",17% off,4.5,"77,259 Ratings & 6,779 Reviews",Nano + eSIM,Dual Sim,Smartphones,Yes,11.94 cm (4.7 inch),Yes,12MP Rear Camera,Yes,7MP Front Camera,64 GB,,,,,
71,POCO,M2,MZB9920IN,"14,999","12,499",16% off,4.3,"1,80,359 Ratings & 15,117 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 8MP + 5MP + 2MP,Yes,8MP Front Camera,128 GB,6 GB,512 GB,microSD,Dedicated Slot,5000 mAh
72,Tecno,Spark Power 2,LC8,"11,999","9,999",16% off,4.3,"61,627 Ratings & 7,439 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.78 cm (7 inch),Yes,16 MP + 5 MP + 2 MP + AI Lens,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
73,Realme,7,RMX2151,"20,999","16,999",19% off,4.3,"40,687 Ratings & 4,481 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,128 GB,8 GB,256 GB,microSD,Dedicated Slot,5000 mAh
74,Tecno,Spark Power 2,LC8,"11,999","9,999",16% off,4.3,"61,628 Ratings & 7,439 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,17.78 cm (7 inch),Yes,16 MP + 5 MP + 2 MP + AI Lens,Yes,16MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
75,Infinix,Hot 9,X655D,"11,999","9,499",20% off,4.4,"94,899 Ratings & 6,904 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.76 cm (6.6 inch),Yes,13 MP + 2 MP + 2 MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
76,Infinix,Hot 9,X655D,"11,999","9,499",20% off,4.4,"94,899 Ratings & 6,904 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.76 cm (6.6 inch),Yes,13 MP + 2 MP + 2 MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
77,Nokia,105 SS 2020,12KETP21A02 / 12KIGP21A02,"1,349","1,199",11% off,4.3,"33,694 Ratings & 2,767 Reviews",Mini SIM,Single Sim,Feature Phones,No,4.5 cm (1.77 inch),,,,,4 MB,4 MB,,NA,,800 mAh
78,Vivo,V20 Pro,Vivo 2018,"34,990","29,990",14% off,4.4,291 Ratings & 35 Reviews,Nano SIM,Dual Sim,Smartphones,Yes,16.36 cm (6.44 inch),Yes,64MP + 8MP + 2MP,Yes,44MP + 8MP Dual Front Camera,128 GB,8 GB,,,,4000 mAh
79,Vivo,V20 Pro,Vivo 2018,"34,990","29,990",14% off,4.4,291 Ratings & 35 Reviews,Nano SIM,Dual Sim,Smartphones,Yes,16.36 cm (6.44 inch),Yes,64MP + 8MP + 2MP,Yes,44MP + 8MP Dual Front Camera,128 GB,8 GB,,,,4000 mAh
80,Nokia,TA-1010/105,ta-1203/ Nokia 105 ss / TA-1304,"1,219","1,219",,4.3,"32,794 Ratings & 2,849 Reviews",,Single Sim,Feature Phones,No,4.57 cm (1.8 inch),,,,,4 MB,4 MB,,,,800 mAh
81,Realme,6,RMX2001,"17,999","13,999",22% off,4.4,"1,30,043 Ratings & 12,485 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,64MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,64 GB,6 GB,256 GB,microSD,Dedicated Slot,4300 mAh
82,OPPO,Reno2 F,CPH1989,"19,990","17,990",10% off,4.4,"48,344 Ratings & 4,454 Reviews",Dual Nano SIM,Dual Sim,Smartphones,Yes,16.51 cm (6.5 inch),Yes,48MP + 8MP + 2MP + 2MP,Yes,16MP Front Camera,256 GB,6 GB,,,Hybrid Slot,4000 mAh
83,POCO,M2,MZB9918IN,"14,999","12,499",16% off,4.3,"1,80,359 Ratings & 15,117 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 8MP + 5MP + 2MP,Yes,8MP Front Camera,128 GB,6 GB,512 GB,microSD,Dedicated Slot,5000 mAh
84,Apple,iPhone SE,MX9U2HN/A,"39,900","32,999",17% off,4.5,"77,259 Ratings & 6,779 Reviews",Nano + eSIM,Dual Sim,Smartphones,Yes,11.94 cm (4.7 inch),Yes,12MP Rear Camera,Yes,7MP Front Camera,64 GB,,,,,
85,POCO,M2 Pro,MZB9621IN,"17,999","14,999",16% off,4.4,"1,72,403 Ratings & 18,238 Reviews",Nano,Dual Sim,Smartphones,Yes,16.94 cm (6.67 inch),Yes,48MP + 8MP + 5MP + 2MP,Yes,16MP Front Camera,64 GB,6 GB,512 GB,microSD,Dedicated Slot,5000 mAh
