,Brand,Model_Name,Model_Number,Original_Price,Offered_Price,Discount,Rating,Rating_Count,Sim_Size,Sim_Type,Tech_Category,Touch_Screen,Display_Size,PCam_Avl,Primary_Camera,SCam_avl,Secondary_Camera,Int_Memory,RAM,Expandable_Memory,Memory_Card_Type,Memory_Card_Slot,Battery
354,Nokia,3310 DS,A00028111,"3,697","3,507",5% off,3.8,"28,313 Ratings & 3,135 Reviews",,Dual Sim,Feature Phones,No,6.1 cm (2.4 inch),Yes,2MP Rear Camera,,,16 MB,,32 GB,microSD,Dedicated Slot,1200 mAh
355,Samsung,Guru Music 2,SM-B310EZKDINS,"1,950","1,950",,4.3,"1,58,857 Ratings & 15,742 Reviews",Full Size SIM,Dual Sim,Feature Phones,No,5.08 cm (2 inch),,,,,NA,,,,,800 mAh
356,Lava,Gem,Gem,"1,519","1,519",,4.2,"1,100 Ratings & 110 Reviews",Full Size Sim,Dual Sim,Feature Phones,No,7.11 cm (2.8 inch),Yes,1.3MP Rear Camera,,,32 MB,32 MB,32 GB,,Dedicated Slot,1750 mAh
357,Nokia,5310,12PISX21A01,"3,599","3,480",3% off,4.2,"2,559 Ratings & 169 Reviews",Mini SIM,Dual Sim,Feature Phones,No,6.1 cm (2.4 inch),Yes,0.3MP Rear Camera,No,,16 MB,8 MB,32 GB,microSD,Dedicated Slot,1200 mAh
358,Kechaoda,K66 Plus,K66 Plus,938,938,,4,"18,349 Ratings & 1,584 Reviews",,Dual Sim,Feature Phones,No,4.57 cm (1.8 inch),Yes,0.3MP Rear Camera,No,,64 MB,32 MB,32 GB,,Dedicated Slot,400 mAh
359,Nokia,125,12GMNB21A02,"2,399","1,999",16% off,4,"1,526 Ratings & 120 Reviews",Mini SIM,Dual Sim,Feature Phones,No,6.1 cm (2.4 inch),No,,No,,4 MB,4 MB,,,,1020 mAh
360,OPPO,A12,CPH2083,"11,990","11,490",4% off,4.3,"5,537 Ratings & 371 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,15.8 cm (6.22 inch),Yes,13MP + 2MP,Yes,5MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,4230 mAh
361,Nokia,125,12GMNB21A02,"2,399","1,999",16% off,4,"1,526 Ratings & 120 Reviews",Mini SIM,Dual Sim,Feature Phones,No,6.1 cm (2.4 inch),No,,No,,4 MB,4 MB,,,,1020 mAh
362,OPPO,A12,CPH2083,"11,990","11,490",4% off,4.3,"5,537 Ratings & 371 Reviews",Nano SIM,Dual Sim,Smartphones,Yes,15.8 cm (6.22 inch),Yes,13MP + 2MP,Yes,5MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,4230 mAh
363,Nokia,5310,12PISX21A01,"3,599","3,480",3% off,4.2,"2,559 Ratings & 169 Reviews",Mini SIM,Dual Sim,Feature Phones,No,6.1 cm (2.4 inch),Yes,0.3MP Rear Camera,No,,16 MB,8 MB,32 GB,microSD,Dedicated Slot,1200 mAh
